序號,路期,號碼,備註,路考日期,路考項目,
112,0022AAA102,23,0022A005,,,
158,0022AAA102,24,0022A004,,,
141,0022AAA102,25,0022A018,,,
106,0022AAA102,26,0022A024,,,
135,0022AAA102,27,0022A025,,,
59,0022AAA102,28,0022A012,,,
58,0022AAA102,29,0022A009,,,
11,0022AAA103,1,0021B028補,,,
319,0022AAA103,2,0001A002補,,,
29,0022AAA103,3,0021B032補,,,
105,0022AAA103,4,0022A086,,,
164,0022AAA103,5,0022A084,,,
75,0022AAA103,6,0022A088,,,
107,0022AAA103,7,0022A093,,,
42,0022AAA103,8,0022A021,,,
93,0022AAA103,9,0022A015,,,
127,0022AAA103,10,0022A099,,,
108,0022AAA103,11,0022A105,,,
45,0022AAA103,12,0022A104,,,
40,0022AAA103,13,0022A110,,,
61,0022AAA103,14,0022A023,,,
67,0022AAA103,15,0022A109,,,
57,0022AAA103,16,0022A106,,,
318,0022AAA103,17,0001A001補,,,
55,0022AAA103,18,0022A108,,,
98,0022AAA103,19,0022A107,,,
172,0022AAA103,20,0022A022,,,
56,0022AAA103,21,0022A111,,,
72,0022AAA103,22,0022A020,,,
148,0022AAA103,23,0022A102,,,
153,0022AAA103,24,0022A026,,,
103,0022AAA103,25,0022A019,,,
