序號,路期,號碼,備註,路考日期,路考項目,
23659,0140BAA103,5,0140A019補,8/23/18 0:00,2,
23867,0140BAA103,6,0140B127,8/23/18 0:00,2,
23817,0140BAA103,7,0140B131,8/23/18 0:00,2,
23846,0140BAA103,8,0140B133,8/23/18 0:00,2,
23749,0140BAA103,9,0140B136,8/23/18 0:00,2,
23731,0140BAA103,10,0140B142,8/23/18 0:00,2,
23851,0140BAA103,11,0140B148,8/23/18 0:00,2,
23744,0140BAA103,12,0140B147,8/23/18 0:00,2,
23850,0140BAA103,13,0140B144,8/23/18 0:00,2,
23847,0140BAA103,14,0140B146,8/23/18 0:00,2,
23905,0140BAA103,15,0140B149,8/23/18 0:00,2,
23899,0140BAA103,16,0140B129,8/23/18 0:00,2,
23758,0140BAA103,17,0140B135,8/23/18 0:00,2,
23774,0140BAA103,18,0140B138,8/23/18 0:00,2,
23819,0140BAA103,19,0140B134,8/23/18 0:00,2,
23629,0140BAA104,1,0139B010補,8/23/18 0:00,1,
23693,0140BAA104,2,0140A061補,8/23/18 0:00,2,
23872,0140BAA104,3,0140B001,8/23/18 0:00,2,
23743,0140BAA104,4,0140B007,8/23/18 0:00,2,
23874,0140BAA104,5,0140B009,8/23/18 0:00,2,
23754,0140BAA104,6,0140B006,8/23/18 0:00,2,
23732,0140BAA104,7,0140B002,8/23/18 0:00,2,
23849,0140BAA104,8,0140B003,8/23/18 0:00,2,
23848,0140BAA104,9,0140B005,8/23/18 0:00,2,
23685,0140BAA104,10,0140B004,8/23/18 0:00,2,
23788,0140BAA104,11,0140B008,8/23/18 0:00,2,
22771,0140BAA104,12,0130B013補,8/23/18 0:00,2,
23780,0140BAA104,13,0140B118,8/23/18 0:00,2,
23811,0140BAA104,14,0140B115,8/23/18 0:00,2,
23832,0140BAA104,15,0140B076,8/23/18 0:00,2,
23790,0140BAA104,16,0140B117,8/23/18 0:00,2,
23789,0140BAA104,17,0140B077,8/23/18 0:00,2,
23753,0140BAA104,18,0140B125,8/23/18 0:00,2,
23736,0140BAA105,1,0140A055補,8/23/18 0:00,1,
23726,0140BAA105,2,0140A008補,8/23/18 0:00,2,
23857,0140BAA105,3,0140B108,8/23/18 0:00,2,
23768,0140BAA105,4,0140B010,8/23/18 0:00,2,
23741,0140BAA105,5,0140B012,8/23/18 0:00,2,
23713,0140BAA105,6,0140B017,8/23/18 0:00,2,
23730,0140BAA105,7,0140B015,8/23/18 0:00,2,
23889,0140BAA105,8,0140B101,8/23/18 0:00,2,
23888,0140BAA105,9,0140B102,8/23/18 0:00,2,
23614,0140BAA105,10,0140A009補,8/23/18 0:00,2,
23845,0140BAA105,11,0140B132,8/23/18 0:00,2,
23783,0140BAA105,12,0140B137,8/23/18 0:00,2,
23894,0140BAA105,13,0140B106,8/23/18 0:00,2,
23838,0140BAA105,14,0140B110,8/23/18 0:00,2,
23861,0140BAA105,15,0140B122,8/23/18 0:00,2,
23742,0140BAA105,16,0140B124,8/23/18 0:00,2,
23809,0140BAA105,17,0140B123,8/23/18 0:00,2,
23775,0140BAA105,18,0140B126,8/23/18 0:00,2,
23871,0140BAA106,1,0140B050,8/24/18 0:00,2,
23781,0140BAA106,2,0140B052,8/24/18 0:00,2,
23767,0140BAA106,3,0140B046,8/24/18 0:00,2,
23756,0140BAA106,4,0140B048,8/24/18 0:00,2,
23821,0140BAA106,5,0140B059,8/24/18 0:00,2,
23825,0140BAA106,6,0140B061,8/24/18 0:00,2,
23870,0140BAA106,7,0140B071,8/24/18 0:00,2,
23782,0140BAA106,8,0140B072,8/24/18 0:00,2,
23740,0140BAA106,9,0140B058,8/24/18 0:00,2,
23605,0140BAA106,10,0140B062,8/24/18 0:00,2,
23792,0140BAA106,11,0140B063,8/24/18 0:00,2,
23841,0140BAA106,12,0140B064,8/24/18 0:00,2,
23755,0140BAA106,13,0140B067,8/24/18 0:00,2,
23803,0140BAA106,14,0140B074,8/24/18 0:00,2,
23826,0140BAA106,15,0140B075,8/24/18 0:00,2,
23652,0140BAA107,1,0139B032補,8/24/18 0:00,1,
23721,0140BAA107,2,0140A057補,8/24/18 0:00,2,
23903,0140BAA107,3,0140B056,8/24/18 0:00,2,
23762,0140BAA107,4,0140B036,8/24/18 0:00,2,
23829,0140BAA107,5,0140B055,8/24/18 0:00,2,
23839,0140BAA107,6,0140B032,8/24/18 0:00,2,
23748,0140BAA107,7,0140B030,8/24/18 0:00,2,
23745,0140BAA107,8,0140B034,8/24/18 0:00,2,
23773,0140BAA107,9,0140B039,8/24/18 0:00,2,
23876,0140BAA107,10,0140B054,8/24/18 0:00,2,
23784,0140BAA107,11,0140B031,8/24/18 0:00,2,
23799,0140BAA107,12,0140B038,8/24/18 0:00,2,
23863,0140BAA107,13,0140B053,8/24/18 0:00,2,
23795,0140BAA107,14,0140B041,8/24/18 0:00,2,
23842,0140BAA107,15,0140B047,8/24/18 0:00,2,
23879,0140BAA108,1,0140B152,8/24/18 0:00,2,
23891,0140BAA108,2,0140B153,8/24/18 0:00,2,
23704,0140BAA108,3,0140A060補,8/24/18 0:00,2,
23820,0140BAA108,4,0140B086,8/24/18 0:00,2,
23898,0140BAA108,5,0140B080,8/24/18 0:00,2,
23787,0140BAA108,6,0140B093,8/24/18 0:00,2,
23833,0140BAA108,7,0140B089,8/24/18 0:00,2,
23746,0140BAA108,8,0140B090,8/24/18 0:00,2,
23882,0140BAA108,9,0140B079,8/24/18 0:00,2,
23794,0140BAA108,10,0140B091,8/24/18 0:00,2,
23761,0140BAA108,11,0140B092,8/24/18 0:00,2,
23810,0140BAA108,12,0140B094,8/24/18 0:00,2,
23752,0140BAA108,13,0140B083,8/24/18 0:00,2,
23897,0140BAA108,14,0140B095,8/24/18 0:00,2,
23750,0140BAA108,15,0140B096,8/24/18 0:00,2,
23624,0140BAA109,1,0139B039補,8/24/18 0:00,2,
23856,0140BAA109,2,0140B051,8/24/18 0:00,2,
23864,0140BAA109,3,0140B029,8/24/18 0:00,2,
23881,0140BAA109,4,0140B037,8/24/18 0:00,2,
23604,0140BAA109,5,0139A029補,8/24/18 0:00,2,
23739,0140BAA109,6,0140B044,8/24/18 0:00,2,
23738,0140BAA109,7,0140B033,8/24/18 0:00,2,
23771,0140BAA109,8,0140B035,8/24/18 0:00,2,
23747,0140BAA109,9,0140B139,8/24/18 0:00,2,
23786,0140BAA109,10,0140B045,8/24/18 0:00,2,
23802,0140BAA109,11,0140B140,8/24/18 0:00,2,
23763,0140BAA109,12,0140B040,8/24/18 0:00,2,
23800,0140BAA109,13,0140B042,8/24/18 0:00,2,
23797,0140BAA109,14,0140B049,8/24/18 0:00,2,
23681,0140BAA110,1,0140A039補,8/24/18 0:00,1,
23900,0140BAA110,2,0140B154,8/24/18 0:00,2,
23880,0140BAA110,3,0140B151,8/24/18 0:00,2,
23827,0140BAA110,4,0140B084,8/24/18 0:00,2,
23807,0140BAA110,5,0140B081,8/24/18 0:00,2,
23828,0140BAA110,6,0140B087,8/24/18 0:00,2,
23777,0140BAA110,7,0140B088,8/24/18 0:00,2,
23901,0140BAA110,8,0140B082,8/24/18 0:00,2,
23844,0140BAA110,9,0140B098,8/24/18 0:00,2,
23835,0140BAA110,10,0140B097,8/24/18 0:00,2,
23852,0140BAA110,11,0140B065,8/24/18 0:00,2,
23858,0140BAA110,12,0140B066,8/24/18 0:00,2,
23896,0140BAA110,13,0140B068,8/24/18 0:00,2,
23791,0140BAA110,14,0140B069,8/24/18 0:00,2,
23764,0140BAA110,15,0140B070,8/24/18 0:00,2,
23883,0140BAA110,16,0140B073,8/24/18 0:00,2,
23713,0141AAA101,1,0140B017補,9/12/18 0:00,1,
23720,0141AAA101,2,0140B027補,9/12/18 0:00,2,
23940,0141AAA101,3,0141A015,9/12/18 0:00,2,
23929,0141AAA101,4,0141A001,9/12/18 0:00,2,
23615,0141AAA101,5,0141A002,9/12/18 0:00,2,
23932,0141AAA101,6,0141A003,9/12/18 0:00,2,
23931,0141AAA101,7,0141A005,9/12/18 0:00,2,
23935,0141AAA101,8,0141A006,9/12/18 0:00,2,
23983,0141AAA101,9,0141A009,9/12/18 0:00,2,
23952,0141AAA101,10,0141A010,9/12/18 0:00,2,
23254,0141AAA101,11,0141A025,9/12/18 0:00,2,
23926,0141AAA101,12,0141A004,9/12/18 0:00,2,
23853,0141AAA101,13,0141A031,9/12/18 0:00,2,
23944,0141AAA101,14,0141A008,9/12/18 0:00,2,
23957,0141AAA101,15,0141A012,9/12/18 0:00,2,
23845,0141AAA102,1,0140B132補,9/12/18 0:00,1,
23965,0141AAA102,2,0141A094,9/12/18 0:00,2,
23778,0141AAA102,3,0140B043補,9/12/18 0:00,2,
23923,0141AAA102,4,0141A053,9/12/18 0:00,2,
24008,0141AAA102,5,0141A062,9/12/18 0:00,2,
23975,0141AAA102,6,0141A043,9/12/18 0:00,2,
23936,0141AAA102,7,0141A044,9/12/18 0:00,2,
23960,0141AAA102,8,0141A049,9/12/18 0:00,2,
23956,0141AAA102,9,0141A046,9/12/18 0:00,2,
24013,0141AAA102,10,0141A052,9/12/18 0:00,2,
23953,0141AAA102,11,0141A045,9/12/18 0:00,2,
23907,0141AAA102,12,0141A065,9/12/18 0:00,2,
23976,0141AAA102,13,0141A056,9/12/18 0:00,2,
23887,0141AAA102,14,0141A048,9/12/18 0:00,2,
23942,0141AAA102,15,0141A047,9/12/18 0:00,2,
23856,0141AAA103,1,0140B051補,9/12/18 0:00,1,
